airport_name,city,state,state_code,faa_code,iata_code,type,slug,hub_page_url,accident_base_url
San Diego International Airport,San Diego,California,CA,KSAN,SAN,large_hub,san-diego-international,https://airportaccidents.com/san-diego-international/,https://airportaccidents.com/san-diego-international/
Tampa International Airport,Tampa,Florida,FL,KTPA,TPA,large_hub,tampa-international,https://airportaccidents.com/tampa-international/,https://airportaccidents.com/tampa-international/
Portland International Airport,Portland,Oregon,OR,KPDX,PDX,large_hub,portland-international,https://airportaccidents.com/portland-international/,https://airportaccidents.com/portland-international/
Chicago Midway International Airport,Chicago,Illinois,IL,KMDW,MDW,large_hub,chicago-midway-international,https://airportaccidents.com/chicago-midway-international/,https://airportaccidents.com/chicago-midway-international/
Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,Florida,FL,KFLL,FLL,large_hub,fort-lauderdale-hollywood-international,https://airportaccidents.com/fort-lauderdale-hollywood-international/,https://airportaccidents.com/fort-lauderdale-hollywood-international/
Daniel K. Inouye International Airport,Honolulu,Hawaii,HI,PHNL,HNL,large_hub,daniel-k-inouye-international,https://airportaccidents.com/daniel-k-inouye-international/,https://airportaccidents.com/daniel-k-inouye-international/
Austin-Bergstrom International Airport,Austin,Texas,TX,KAUS,AUS,large_hub,austin-bergstrom-international,https://airportaccidents.com/austin-bergstrom-international/,https://airportaccidents.com/austin-bergstrom-international/
Nashville International Airport,Nashville,Tennessee,TN,KBNA,BNA,large_hub,nashville-international,https://airportaccidents.com/nashville-international/,https://airportaccidents.com/nashville-international/
Kansas City International Airport,Kansas City,Missouri,MO,KMCI,MCI,large_hub,kansas-city-international,https://airportaccidents.com/kansas-city-international/,https://airportaccidents.com/kansas-city-international/
San Jose International Airport,San Jose,California,CA,KSJC,SJC,large_hub,san-jose-international,https://airportaccidents.com/san-jose-international/,https://airportaccidents.com/san-jose-international/
Raleigh-Durham International Airport,Raleigh,North Carolina,NC,KRDU,RDU,large_hub,raleigh-durham-international,https://airportaccidents.com/raleigh-durham-international/,https://airportaccidents.com/raleigh-durham-international/
St. Louis Lambert International Airport,St. Louis,Missouri,MO,KSTL,STL,large_hub,st-louis-lambert-international,https://airportaccidents.com/st-louis-lambert-international/,https://airportaccidents.com/st-louis-lambert-international/
Cleveland Hopkins International Airport,Cleveland,Ohio,OH,KCLE,CLE,large_hub,cleveland-hopkins-international,https://airportaccidents.com/cleveland-hopkins-international/,https://airportaccidents.com/cleveland-hopkins-international/
Pittsburgh International Airport,Pittsburgh,Pennsylvania,PA,KPIT,PIT,large_hub,pittsburgh-international,https://airportaccidents.com/pittsburgh-international/,https://airportaccidents.com/pittsburgh-international/
Indianapolis International Airport,Indianapolis,Indiana,IN,KIND,IND,large_hub,indianapolis-international,https://airportaccidents.com/indianapolis-international/,https://airportaccidents.com/indianapolis-international/
Cincinnati/Northern Kentucky International Airport,Cincinnati,Ohio,OH,KCVG,CVG,large_hub,cincinnati-northern-kentucky-international,https://airportaccidents.com/cincinnati-northern-kentucky-international/,https://airportaccidents.com/cincinnati-northern-kentucky-international/
San Antonio International Airport,San Antonio,Texas,TX,KSAT,SAT,large_hub,san-antonio-international,https://airportaccidents.com/san-antonio-international/,https://airportaccidents.com/san-antonio-international/
William P. Hobby Airport,Houston,Texas,TX,KHOU,HOU,large_hub,william-p-hobby,https://airportaccidents.com/william-p-hobby/,https://airportaccidents.com/william-p-hobby/
Dallas Love Field,Dallas,Texas,TX,KDAL,DAL,large_hub,dallas-love-field,https://airportaccidents.com/dallas-love-field/,https://airportaccidents.com/dallas-love-field/
General Mitchell International Airport,Milwaukee,Wisconsin,WI,KMKE,MKE,large_hub,general-mitchell-international,https://airportaccidents.com/general-mitchell-international/,https://airportaccidents.com/general-mitchell-international/
Ted Stevens Anchorage International Airport,Anchorage,Alaska,AK,PANC,ANC,large_hub,ted-stevens-anchorage-international,https://airportaccidents.com/ted-stevens-anchorage-international/,https://airportaccidents.com/ted-stevens-anchorage-international/
Luis Munoz Marin International Airport,San Juan,Puerto Rico,PR,TJSJ,SJU,large_hub,luis-munoz-marin-international,https://airportaccidents.com/luis-munoz-marin-international/,https://airportaccidents.com/luis-munoz-marin-international/
Memphis International Airport,Memphis,Tennessee,TN,KMEM,MEM,large_hub,memphis-international,https://airportaccidents.com/memphis-international/,https://airportaccidents.com/memphis-international/
Columbus John Glenn International Airport,Columbus,Ohio,OH,KCMH,CMH,large_hub,columbus-john-glenn-international,https://airportaccidents.com/columbus-john-glenn-international/,https://airportaccidents.com/columbus-john-glenn-international/
Birmingham-Shuttlesworth International Airport,Birmingham,Alabama,AL,KBHM,BHM,large_hub,birmingham-shuttlesworth-international,https://airportaccidents.com/birmingham-shuttlesworth-international/,https://airportaccidents.com/birmingham-shuttlesworth-international/
Louis Armstrong New Orleans International Airport,New Orleans,Louisiana,LA,KMSY,MSY,large_hub,louis-armstrong-new-orleans-international,https://airportaccidents.com/louis-armstrong-new-orleans-international/,https://airportaccidents.com/louis-armstrong-new-orleans-international/
Jacksonville International Airport,Jacksonville,Florida,FL,KJAX,JAX,large_hub,jacksonville-international,https://airportaccidents.com/jacksonville-international/,https://airportaccidents.com/jacksonville-international/
John Wayne Airport,Santa Ana,California,CA,KSNA,SNA,medium_hub,john-wayne,https://airportaccidents.com/john-wayne/,https://airportaccidents.com/john-wayne/
Ontario International Airport,Ontario,California,CA,KONT,ONT,medium_hub,ontario-international,https://airportaccidents.com/ontario-international/,https://airportaccidents.com/ontario-international/
Long Beach Airport,Long Beach,California,CA,KLGB,LGB,medium_hub,long-beach,https://airportaccidents.com/long-beach/,https://airportaccidents.com/long-beach/
Hollywood Burbank Airport,Burbank,California,CA,KBUR,BUR,medium_hub,hollywood-burbank,https://airportaccidents.com/hollywood-burbank/,https://airportaccidents.com/hollywood-burbank/
Sacramento International Airport,Sacramento,California,CA,KSMF,SMF,medium_hub,sacramento-international,https://airportaccidents.com/sacramento-international/,https://airportaccidents.com/sacramento-international/
Oakland International Airport,Oakland,California,CA,KOAK,OAK,medium_hub,oakland-international,https://airportaccidents.com/oakland-international/,https://airportaccidents.com/oakland-international/
Reno-Tahoe International Airport,Reno,Nevada,NV,KRNO,RNO,medium_hub,reno-tahoe-international,https://airportaccidents.com/reno-tahoe-international/,https://airportaccidents.com/reno-tahoe-international/
Tucson International Airport,Tucson,Arizona,AZ,KTUS,TUS,medium_hub,tucson-international,https://airportaccidents.com/tucson-international/,https://airportaccidents.com/tucson-international/
Albuquerque International Sunport,Albuquerque,New Mexico,NM,KABQ,ABQ,medium_hub,albuquerque-international-sunport,https://airportaccidents.com/albuquerque-international-sunport/,https://airportaccidents.com/albuquerque-international-sunport/
El Paso International Airport,El Paso,Texas,TX,KELP,ELP,medium_hub,el-paso-international,https://airportaccidents.com/el-paso-international/,https://airportaccidents.com/el-paso-international/
Southwest Florida International Airport,Fort Myers,Florida,FL,KRSW,RSW,medium_hub,southwest-florida-international,https://airportaccidents.com/southwest-florida-international/,https://airportaccidents.com/southwest-florida-international/
Palm Beach International Airport,West Palm Beach,Florida,FL,KPBI,PBI,medium_hub,palm-beach-international,https://airportaccidents.com/palm-beach-international/,https://airportaccidents.com/palm-beach-international/
Savannah/Hilton Head International Airport,Savannah,Georgia,GA,KSAV,SAV,medium_hub,savannah-hilton-head-international,https://airportaccidents.com/savannah-hilton-head-international/,https://airportaccidents.com/savannah-hilton-head-international/
Charleston International Airport,Charleston,South Carolina,SC,KCHS,CHS,medium_hub,charleston-international,https://airportaccidents.com/charleston-international/,https://airportaccidents.com/charleston-international/
Richmond International Airport,Richmond,Virginia,VA,KRIC,RIC,medium_hub,richmond-international,https://airportaccidents.com/richmond-international/,https://airportaccidents.com/richmond-international/
Norfolk International Airport,Norfolk,Virginia,VA,KORF,ORF,medium_hub,norfolk-international,https://airportaccidents.com/norfolk-international/,https://airportaccidents.com/norfolk-international/
Buffalo Niagara International Airport,Buffalo,New York,NY,KBUF,BUF,medium_hub,buffalo-niagara-international,https://airportaccidents.com/buffalo-niagara-international/,https://airportaccidents.com/buffalo-niagara-international/
Providence T.F. Green International Airport,Providence,Rhode Island,RI,KPVD,PVD,medium_hub,providence-tf-green-international,https://airportaccidents.com/providence-tf-green-international/,https://airportaccidents.com/providence-tf-green-international/
Bradley International Airport,Windsor Locks,Connecticut,CT,KBDL,BDL,medium_hub,bradley-international,https://airportaccidents.com/bradley-international/,https://airportaccidents.com/bradley-international/
Spokane International Airport,Spokane,Washington,WA,KGEG,GEG,medium_hub,spokane-international,https://airportaccidents.com/spokane-international/,https://airportaccidents.com/spokane-international/
Boise Airport,Boise,Idaho,ID,KBOI,BOI,medium_hub,boise-airport,https://airportaccidents.com/boise-airport/,https://airportaccidents.com/boise-airport/
Colorado Springs Airport,Colorado Springs,Colorado,CO,KCOS,COS,medium_hub,colorado-springs,https://airportaccidents.com/colorado-springs/,https://airportaccidents.com/colorado-springs/
Grand Junction Regional Airport,Grand Junction,Colorado,CO,KGJT,GJT,medium_hub,grand-junction-regional,https://airportaccidents.com/grand-junction-regional/,https://airportaccidents.com/grand-junction-regional/
Kahului Airport,Kahului,Hawaii,HI,PHOG,OGG,medium_hub,kahului,https://airportaccidents.com/kahului/,https://airportaccidents.com/kahului/
Ellison Onizuka Kona International Airport,Kona,Hawaii,HI,PHKO,KOA,medium_hub,ellison-onizuka-kona-international,https://airportaccidents.com/ellison-onizuka-kona-international/,https://airportaccidents.com/ellison-onizuka-kona-international/
Lihue Airport,Lihue,Hawaii,HI,PHLI,LIH,medium_hub,lihue,https://airportaccidents.com/lihue/,https://airportaccidents.com/lihue/
Fairbanks International Airport,Fairbanks,Alaska,AK,PAFB,FAI,medium_hub,fairbanks-international,https://airportaccidents.com/fairbanks-international/,https://airportaccidents.com/fairbanks-international/
Tulsa International Airport,Tulsa,Oklahoma,OK,KTUL,TUL,medium_hub,tulsa-international,https://airportaccidents.com/tulsa-international/,https://airportaccidents.com/tulsa-international/
Will Rogers World Airport,Oklahoma City,Oklahoma,OK,KOKC,OKC,medium_hub,will-rogers-world,https://airportaccidents.com/will-rogers-world/,https://airportaccidents.com/will-rogers-world/
Des Moines International Airport,Des Moines,Iowa,IA,KDSM,DSM,medium_hub,des-moines-international,https://airportaccidents.com/des-moines-international/,https://airportaccidents.com/des-moines-international/
Omaha Eppley Airfield,Omaha,Nebraska,NE,KOMA,OMA,medium_hub,omaha-eppley-airfield,https://airportaccidents.com/omaha-eppley-airfield/,https://airportaccidents.com/omaha-eppley-airfield/
McGhee Tyson Airport,Knoxville,Tennessee,TN,KTYS,TYS,medium_hub,mcghee-tyson,https://airportaccidents.com/mcghee-tyson/,https://airportaccidents.com/mcghee-tyson/
Louisville Muhammad Ali International Airport,Louisville,Kentucky,KY,KSDF,SDF,medium_hub,louisville-muhammad-ali-international,https://airportaccidents.com/louisville-muhammad-ali-international/,https://airportaccidents.com/louisville-muhammad-ali-international/
Gerald R. Ford International Airport,Grand Rapids,Michigan,MI,KGRR,GRR,medium_hub,gerald-r-ford-international,https://airportaccidents.com/gerald-r-ford-international/,https://airportaccidents.com/gerald-r-ford-international/
Madison Dane County Regional Airport,Madison,Wisconsin,WI,KMSN,MSN,medium_hub,madison-dane-county-regional,https://airportaccidents.com/madison-dane-county-regional/,https://airportaccidents.com/madison-dane-county-regional/
Antonio B. Won Pat International Airport,Hagatna,Guam,GU,PGUM,GUM,medium_hub,antonio-b-won-pat-international,https://airportaccidents.com/antonio-b-won-pat-international/,https://airportaccidents.com/antonio-b-won-pat-international/
Little Rock Clinton National Airport,Little Rock,Arkansas,AR,KLIT,LIT,medium_hub,little-rock-clinton-national,https://airportaccidents.com/little-rock-clinton-national/,https://airportaccidents.com/little-rock-clinton-national/
Palm Springs International Airport,Palm Springs,California,CA,KPSP,PSP,small_hub,palm-springs-international,https://airportaccidents.com/palm-springs-international/,https://airportaccidents.com/palm-springs-international/
Fresno Yosemite International Airport,Fresno,California,CA,KFAT,FAT,small_hub,fresno-yosemite-international,https://airportaccidents.com/fresno-yosemite-international/,https://airportaccidents.com/fresno-yosemite-international/
Santa Barbara Airport,Santa Barbara,California,CA,KSBA,SBA,small_hub,santa-barbara,https://airportaccidents.com/santa-barbara/,https://airportaccidents.com/santa-barbara/
Monterey Regional Airport,Monterey,California,CA,KMRY,MRY,small_hub,monterey-regional,https://airportaccidents.com/monterey-regional/,https://airportaccidents.com/monterey-regional/
Lubbock Preston Smith International Airport,Lubbock,Texas,TX,KLBB,LBB,small_hub,lubbock-preston-smith-international,https://airportaccidents.com/lubbock-preston-smith-international/,https://airportaccidents.com/lubbock-preston-smith-international/
Amarillo Rick Husband International Airport,Amarillo,Texas,TX,KAMA,AMA,small_hub,amarillo-rick-husband-international,https://airportaccidents.com/amarillo-rick-husband-international/,https://airportaccidents.com/amarillo-rick-husband-international/
Midland International Air and Space Port,Midland,Texas,TX,KMAF,MAF,small_hub,midland-international,https://airportaccidents.com/midland-international/,https://airportaccidents.com/midland-international/
Corpus Christi International Airport,Corpus Christi,Texas,TX,KCRP,CRP,small_hub,corpus-christi-international,https://airportaccidents.com/corpus-christi-international/,https://airportaccidents.com/corpus-christi-international/
Harlingen Valley International Airport,Harlingen,Texas,TX,KHRL,HRL,small_hub,harlingen-valley-international,https://airportaccidents.com/harlingen-valley-international/,https://airportaccidents.com/harlingen-valley-international/
McAllen Miller International Airport,McAllen,Texas,TX,KMFE,MFE,small_hub,mcallen-miller-international,https://airportaccidents.com/mcallen-miller-international/,https://airportaccidents.com/mcallen-miller-international/
Abilene Regional Airport,Abilene,Texas,TX,KABI,ABI,small_hub,abilene-regional,https://airportaccidents.com/abilene-regional/,https://airportaccidents.com/abilene-regional/
Pensacola International Airport,Pensacola,Florida,FL,KPNS,PNS,small_hub,pensacola-international,https://airportaccidents.com/pensacola-international/,https://airportaccidents.com/pensacola-international/
Tallahassee International Airport,Tallahassee,Florida,FL,KTLH,TLH,small_hub,tallahassee-international,https://airportaccidents.com/tallahassee-international/,https://airportaccidents.com/tallahassee-international/
Sarasota Bradenton International Airport,Sarasota,Florida,FL,KSRQ,SRQ,small_hub,sarasota-bradenton-international,https://airportaccidents.com/sarasota-bradenton-international/,https://airportaccidents.com/sarasota-bradenton-international/
Daytona Beach International Airport,Daytona Beach,Florida,FL,KDAB,DAB,small_hub,daytona-beach-international,https://airportaccidents.com/daytona-beach-international/,https://airportaccidents.com/daytona-beach-international/
Myrtle Beach International Airport,Myrtle Beach,South Carolina,SC,KMYR,MYR,small_hub,myrtle-beach-international,https://airportaccidents.com/myrtle-beach-international/,https://airportaccidents.com/myrtle-beach-international/
Greenville-Spartanburg International Airport,Greenville,South Carolina,SC,KGSP,GSP,small_hub,greenville-spartanburg-international,https://airportaccidents.com/greenville-spartanburg-international/,https://airportaccidents.com/greenville-spartanburg-international/
Piedmont Triad International Airport,Greensboro,North Carolina,NC,KGSO,GSO,small_hub,piedmont-triad-international,https://airportaccidents.com/piedmont-triad-international/,https://airportaccidents.com/piedmont-triad-international/
Asheville Regional Airport,Asheville,North Carolina,NC,KAVL,AVL,small_hub,asheville-regional,https://airportaccidents.com/asheville-regional/,https://airportaccidents.com/asheville-regional/
Wilmington International Airport,Wilmington,North Carolina,NC,KILM,ILM,small_hub,wilmington-international,https://airportaccidents.com/wilmington-international/,https://airportaccidents.com/wilmington-international/
Roanoke-Blacksburg Regional Airport,Roanoke,Virginia,VA,KROA,ROA,small_hub,roanoke-blacksburg-regional,https://airportaccidents.com/roanoke-blacksburg-regional/,https://airportaccidents.com/roanoke-blacksburg-regional/
Atlantic City International Airport,Atlantic City,New Jersey,NJ,KACY,ACY,small_hub,atlantic-city-international,https://airportaccidents.com/atlantic-city-international/,https://airportaccidents.com/atlantic-city-international/
Albany International Airport,Albany,New York,NY,KALB,ALB,small_hub,albany-international,https://airportaccidents.com/albany-international/,https://airportaccidents.com/albany-international/
Greater Rochester International Airport,Rochester,New York,NY,KROC,ROC,small_hub,greater-rochester-international,https://airportaccidents.com/greater-rochester-international/,https://airportaccidents.com/greater-rochester-international/
Syracuse Hancock International Airport,Syracuse,New York,NY,KSYR,SYR,small_hub,syracuse-hancock-international,https://airportaccidents.com/syracuse-hancock-international/,https://airportaccidents.com/syracuse-hancock-international/
Long Island MacArthur Airport,Islip,New York,NY,KISP,ISP,small_hub,long-island-macarthur,https://airportaccidents.com/long-island-macarthur/,https://airportaccidents.com/long-island-macarthur/
Burlington International Airport,Burlington,Vermont,VT,KBTV,BTV,small_hub,burlington-international,https://airportaccidents.com/burlington-international/,https://airportaccidents.com/burlington-international/
Manchester-Boston Regional Airport,Manchester,New Hampshire,NH,KMHT,MHT,small_hub,manchester-boston-regional,https://airportaccidents.com/manchester-boston-regional/,https://airportaccidents.com/manchester-boston-regional/
Portland International Jetport,Portland,Maine,ME,KPWM,PWM,small_hub,portland-international-jetport,https://airportaccidents.com/portland-international-jetport/,https://airportaccidents.com/portland-international-jetport/
Akron-Canton Airport,Akron,Ohio,OH,KCAK,CAK,small_hub,akron-canton,https://airportaccidents.com/akron-canton/,https://airportaccidents.com/akron-canton/
Dayton International Airport,Dayton,Ohio,OH,KDAY,DAY,small_hub,dayton-international,https://airportaccidents.com/dayton-international/,https://airportaccidents.com/dayton-international/
Fort Wayne International Airport,Fort Wayne,Indiana,IN,KFWA,FWA,small_hub,fort-wayne-international,https://airportaccidents.com/fort-wayne-international/,https://airportaccidents.com/fort-wayne-international/
South Bend International Airport,South Bend,Indiana,IN,KSBN,SBN,small_hub,south-bend-international,https://airportaccidents.com/south-bend-international/,https://airportaccidents.com/south-bend-international/
Evansville Regional Airport,Evansville,Indiana,IN,KEVV,EVV,small_hub,evansville-regional,https://airportaccidents.com/evansville-regional/,https://airportaccidents.com/evansville-regional/
Blue Grass Airport,Lexington,Kentucky,KY,KLEX,LEX,small_hub,blue-grass,https://airportaccidents.com/blue-grass/,https://airportaccidents.com/blue-grass/
Chattanooga Metropolitan Airport,Chattanooga,Tennessee,TN,KCHA,CHA,small_hub,chattanooga-metropolitan,https://airportaccidents.com/chattanooga-metropolitan/,https://airportaccidents.com/chattanooga-metropolitan/
Huntsville International Airport,Huntsville,Alabama,AL,KHSV,HSV,small_hub,huntsville-international,https://airportaccidents.com/huntsville-international/,https://airportaccidents.com/huntsville-international/
Mobile Regional Airport,Mobile,Alabama,AL,KMOB,MOB,small_hub,mobile-regional,https://airportaccidents.com/mobile-regional/,https://airportaccidents.com/mobile-regional/
Jackson-Medgar Wiley Evers International Airport,Jackson,Mississippi,MS,KJAN,JAN,small_hub,jackson-medgar-wiley-evers-international,https://airportaccidents.com/jackson-medgar-wiley-evers-international/,https://airportaccidents.com/jackson-medgar-wiley-evers-international/
Gulfport-Biloxi International Airport,Gulfport,Mississippi,MS,KGPT,GPT,small_hub,gulfport-biloxi-international,https://airportaccidents.com/gulfport-biloxi-international/,https://airportaccidents.com/gulfport-biloxi-international/
Northwest Arkansas National Airport,Bentonville,Arkansas,AR,KXNA,XNA,small_hub,northwest-arkansas-national,https://airportaccidents.com/northwest-arkansas-national/,https://airportaccidents.com/northwest-arkansas-national/
Wichita Dwight D. Eisenhower National Airport,Wichita,Kansas,KS,KICT,ICT,small_hub,wichita-dwight-d-eisenhower-national,https://airportaccidents.com/wichita-dwight-d-eisenhower-national/,https://airportaccidents.com/wichita-dwight-d-eisenhower-national/
Sioux Falls Regional Airport,Sioux Falls,South Dakota,SD,KFSD,FSD,small_hub,sioux-falls-regional,https://airportaccidents.com/sioux-falls-regional/,https://airportaccidents.com/sioux-falls-regional/
Rapid City Regional Airport,Rapid City,South Dakota,SD,KRAP,RAP,small_hub,rapid-city-regional,https://airportaccidents.com/rapid-city-regional/,https://airportaccidents.com/rapid-city-regional/
Fargo Hector International Airport,Fargo,North Dakota,ND,KFAR,FAR,small_hub,fargo-hector-international,https://airportaccidents.com/fargo-hector-international/,https://airportaccidents.com/fargo-hector-international/
Billings Logan International Airport,Billings,Montana,MT,KBIL,BIL,small_hub,billings-logan-international,https://airportaccidents.com/billings-logan-international/,https://airportaccidents.com/billings-logan-international/
Missoula Montana Airport,Missoula,Montana,MT,KMSO,MSO,small_hub,missoula-montana,https://airportaccidents.com/missoula-montana/,https://airportaccidents.com/missoula-montana/
Bozeman Yellowstone International Airport,Bozeman,Montana,MT,KBZN,BZN,small_hub,bozeman-yellowstone-international,https://airportaccidents.com/bozeman-yellowstone-international/,https://airportaccidents.com/bozeman-yellowstone-international/
Jackson Hole Airport,Jackson,Wyoming,WY,KJAC,JAC,small_hub,jackson-hole,https://airportaccidents.com/jackson-hole/,https://airportaccidents.com/jackson-hole/
Eugene Airport,Eugene,Oregon,OR,KEUG,EUG,small_hub,eugene,https://airportaccidents.com/eugene/,https://airportaccidents.com/eugene/
Medford Rogue Valley International Airport,Medford,Oregon,OR,KMFR,MFR,small_hub,medford-rogue-valley-international,https://airportaccidents.com/medford-rogue-valley-international/,https://airportaccidents.com/medford-rogue-valley-international/
Juneau International Airport,Juneau,Alaska,AK,PAJN,JNU,small_hub,juneau-international,https://airportaccidents.com/juneau-international/,https://airportaccidents.com/juneau-international/
Hilo International Airport,Hilo,Hawaii,HI,PHTO,ITO,small_hub,hilo-international,https://airportaccidents.com/hilo-international/,https://airportaccidents.com/hilo-international/
Rafael Hernandez Airport,Aguadilla,Puerto Rico,PR,TJBQ,BQN,small_hub,rafael-hernandez,https://airportaccidents.com/rafael-hernandez/,https://airportaccidents.com/rafael-hernandez/
Cyril E. King Airport,Charlotte Amalie,U.S. Virgin Islands,VI,TIST,STT,small_hub,cyril-e-king,https://airportaccidents.com/cyril-e-king/,https://airportaccidents.com/cyril-e-king/
Flint Bishop International Airport,Flint,Michigan,MI,KFNT,FNT,small_hub,flint-bishop-international,https://airportaccidents.com/flint-bishop-international/,https://airportaccidents.com/flint-bishop-international/
Lansing Capital Region International Airport,Lansing,Michigan,MI,KLAN,LAN,small_hub,lansing-capital-region-international,https://airportaccidents.com/lansing-capital-region-international/,https://airportaccidents.com/lansing-capital-region-international/
Kalamazoo/Battle Creek International Airport,Kalamazoo,Michigan,MI,KAZO,AZO,small_hub,kalamazoo-battle-creek-international,https://airportaccidents.com/kalamazoo-battle-creek-international/,https://airportaccidents.com/kalamazoo-battle-creek-international/
Traverse City Cherry Capital Airport,Traverse City,Michigan,MI,KTVC,TVC,small_hub,traverse-city-cherry-capital,https://airportaccidents.com/traverse-city-cherry-capital/,https://airportaccidents.com/traverse-city-cherry-capital/
Duluth International Airport,Duluth,Minnesota,MN,KDLH,DLH,small_hub,duluth-international,https://airportaccidents.com/duluth-international/,https://airportaccidents.com/duluth-international/
Cedar Rapids Eastern Iowa Airport,Cedar Rapids,Iowa,IA,KCID,CID,small_hub,cedar-rapids-eastern-iowa,https://airportaccidents.com/cedar-rapids-eastern-iowa/,https://airportaccidents.com/cedar-rapids-eastern-iowa/
Quad Cities International Airport,Moline,Illinois,IL,KMLI,MLI,small_hub,quad-cities-international,https://airportaccidents.com/quad-cities-international/,https://airportaccidents.com/quad-cities-international/
Peoria International Airport,Peoria,Illinois,IL,KPIA,PIA,small_hub,peoria-international,https://airportaccidents.com/peoria-international/,https://airportaccidents.com/peoria-international/
